,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,0,64.9222222222222,-147.718333333333,103.9,41000.0
1,1,64.9222222222222,-147.718333333333,103.9,164000.0
2,2,60.5386111111111,-145.762222222222,100.9,0.0
3,3,64.0569444444444,-145.654166666667,90.3,9840.0
4,4,64.3033333333333,-146.548333333333,93.5,164000.0
5,5,64.0613888888889,-145.690555555556,93.5,0.0
6,6,64.0613888888889,-145.690277777778,93.5,41000.0
7,7,64.7861111111111,-141.209444444444,91.7,0.0
8,8,64.7844444444444,-141.207222222222,97.9,0.0
9,9,64.7858333333333,-141.203888888889,94.1,410.0
10,10,64.8375,-147.719444444444,96.9,41000.0
11,11,64.9219444444445,-147.717777777778,88.3,164000.0
12,12,64.9219444444445,-147.717777777778,88.3,164000.0
13,13,64.9219444444445,-147.717777777778,89.1,164000.0
14,14,64.9147222222222,-147.650277777778,88.3,164000.0
15,15,64.9219444444445,-147.716666666667,94.3,82000.0
16,16,64.9219444444445,-147.716666666667,92.7,82000.0
17,17,64.4105555555556,-146.961388888889,88.7,164000.0
18,18,64.9222222222222,-147.718333333333,94.3,164000.0
19,19,64.9222222222222,-147.718333333333,95.9,164000.0
20,20,64.9144444444445,-147.651388888889,101.1,0.0
21,21,64.8788888888889,-148.056944444444,102.5,0.0
22,22,64.8633333333333,-145.754444444444,95.9,0.0
23,23,64.9113888888889,-147.780277777778,104.7,0.0
24,24,64.8677777777778,-147.666388888889,91.5,0.0
25,25,64.9219444444445,-147.718333333333,98.1,0.0
26,26,62.1136111111111,-145.54,91.9,9840.0
27,27,62.1038888888889,-146.174722222222,88.7,41000.0
28,28,62.1136111111111,-145.54,91.9,9840.0
29,29,62.1038888888889,-146.174722222222,107.1,9840.0
30,30,62.1141666666667,-145.537777777778,88.7,9840.0
31,31,62.1083333333333,-146.176111111111,90.5,0.0
32,32,59.2180555555556,-135.426944444444,102.3,0.0
33,33,59.2180555555556,-135.426944444444,102.3,41000.0
34,34,59.2252777777778,-135.447222222222,103.7,0.0
35,35,58.1088888888889,-135.442777777778,90.7,410.0
36,36,58.3969444444444,-134.560277777778,91.3,9840.0
37,37,58.3969444444444,-134.560277777778,91.3,9840.0
38,38,58.3011111111111,-134.4425,88.1,41000.0
39,39,58.3011111111111,-134.4425,89.7,41000.0
40,40,58.3011111111111,-134.442222222222,88.9,41000.0
41,41,58.3655555555556,-134.634722222222,90.7,9840.0
42,42,58.3011111111111,-134.4425,106.3,0.0
43,43,58.3294444444445,-134.412777777778,105.1,0.0
44,44,58.3008333333333,-134.424444444444,104.3,0.0
45,45,58.3008333333333,-134.424444444444,104.3,41000.0
46,46,55.3386111111111,-131.624166666667,89.7,41000.0
47,47,55.3413888888889,-131.648333333333,99.9,41000.0
48,48,55.3394444444445,-131.626388888889,105.3,9840.0
49,49,55.3608333333333,-131.796944444444,99.9,82000.0
50,50,55.3391666666667,-131.638333333333,106.7,0.0
51,51,55.3386111111111,-131.624166666667,105.9,0.0
52,52,61.4158333333333,-143.024444444444,89.7,0.0
53,53,64.7716666666667,-147.288333333333,89.1,0.0
54,54,64.8705555555556,-147.099444444444,88.7,41000.0
55,55,56.815,-132.955277777778,100.9,0.0
56,56,56.815,-132.955277777778,100.9,41000.0
57,57,56.81,-132.940277777778,91.3,9840.0
58,58,56.81,-132.940277777778,91.3,9840.0
59,59,56.7436111111111,-133.081388888889,91.1,0.0
60,60,57.0533333333333,-135.353888888889,104.7,0.0
61,61,57.0572222222222,-135.335833333333,103.1,0.0
62,62,57.05,-135.355833333333,94.9,9840.0
63,63,57.05,-135.337222222222,89.3,9840.0
64,64,57.0502777777778,-135.335277777778,89.3,9840.0
65,65,59.4608333333333,-135.329166666667,104.7,0.0
66,66,63.3311111111111,-143.12,91.9,0.0
67,67,61.1208333333333,-146.259444444444,93.3,0.0
68,68,56.4536111111111,-132.383611111111,101.7,0.0
69,69,56.4536111111111,-132.383611111111,101.7,41000.0
70,70,56.4705555555556,-132.378333333333,94.9,0.0
71,71,56.4688888888889,-132.376666666667,99.9,0.0
72,72,59.5552777777778,-139.744444444444,103.9,0.0
73,73,59.5552777777778,-139.744444444444,103.9,41000.0
74,74,47.0172222222222,-56.370833333332996,101.5,0.0
75,75,47.0172222222222,-56.370833333332996,103.3,0.0
76,76,46.7958333333333,-56.159722222222,94.9,0.0
77,77,46.7808333333333,-56.17527777777798,102.1,0.0
78,78,48.6913888888889,-116.31638888888901,92.1,41000.0
79,79,48.6913888888889,-116.31638888888901,98.3,164.0
80,80,47.6597222222222,-116.954444444444,103.1,0.0
81,81,47.6813888888889,-116.844722222222,102.3,0.0
82,82,46.4630555555556,-116.90805555555599,98.5,41000.0
83,83,47.6594444444445,-116.96444444444401,94.5,0.0
84,84,46.1711111111111,-116.04111111111101,102.5,9840.0
85,85,46.3697222222222,-116.217222222222,88.7,164000.0
86,86,47.4922222222222,-116.143611111111,89.3,41000.0
87,87,48.2291666666667,-116.509444444444,106.7,41000.0
88,88,46.4605555555556,-117.01777777777801,101.5,0.0
89,89,46.4105555555556,-117.016111111111,88.9,0.0
90,90,46.4591666666667,-117.039444444444,106.9,0.0
91,91,46.4633333333333,-117.00138888888901,96.5,0.0
92,92,46.4605555555556,-117.039444444444,105.1,0.0
93,93,46.4572222222222,-117.10111111111101,90.3,0.0
94,94,46.6816666666667,-116.97138888888901,91.7,0.0
95,95,46.7286111111111,-117.007222222222,89.3,0.0
96,96,46.6808333333333,-116.975,106.1,0.0
97,97,46.7066666666667,-116.91999999999999,103.3,9840.0
98,98,46.8111111111111,-116.916388888889,90.3,9840.0
99,99,46.6816666666667,-116.97138888888901,90.3,41000.0
100,100,47.4547222222222,-115.659166666667,90.7,82000.0
101,101,46.4691666666667,-116.27888888888901,95.3,0.0
102,102,46.5080555555556,-116.219722222222,90.5,9840.0
103,103,46.5080555555556,-116.219722222222,102.3,9840.0
104,104,46.4691666666667,-116.27888888888901,95.1,41000.0
105,105,47.3269444444445,-116.71638888888901,89.3,41000.0
106,106,48.6102777777778,-116.25777777777799,88.5,41000.0
107,107,48.6102777777778,-116.25777777777799,88.5,1459.6
108,108,47.6597222222222,-116.954444444444,102.3,41000.0
109,109,47.5705555555556,-117.083055555556,103.1,0.0
110,110,47.7433333333333,-116.895833333333,90.3,9840.0
111,111,47.5813888888889,-116.689444444444,88.3,82000.0
112,112,48.0783333333333,-116.712777777778,89.9,4592.0
113,113,47.8294444444444,-117.07277777777799,90.3,41000.0
114,114,48.0938888888889,-116.55444444444399,89.9,164000.0
115,115,43.8191666666667,-111.78166666666701,91.5,0.0
116,116,48.3044444444444,-116.54333333333301,102.5,0.0
117,117,48.0788888888889,-116.95416666666699,95.3,91840.0
118,118,48.3316666666667,-116.694166666667,101.7,0.0
119,119,47.315,-116.576111111111,92.1,9840.0
120,120,47.315,-116.576111111111,92.1,9840.0
121,121,47.3041666666667,-116.601944444444,92.1,41000.0
122,122,47.2827777777778,-116.481944444444,103.5,9840.0
123,123,46.7036111111111,-116.64916666666701,100.3,9840.0
124,124,46.7036111111111,-116.64916666666701,100.3,9840.0
125,125,46.705,-116.92472222222199,100.5,82000.0
126,126,47.5622222222222,-115.84361111111099,100.7,0.0
127,127,47.5636111111111,-115.83472222222201,97.5,0.0
128,128,47.5636111111111,-115.83472222222201,103.5,82000.0
129,129,40.1772222222222,-85.673055555556,96.7,0.0
130,130,40.1772222222222,-85.673055555556,89.5,0.0
131,131,40.0619444444444,-85.70944444444399,97.9,0.0
132,132,39.9830555555556,-85.71138888888902,98.7,0.0
133,133,41.6313888888889,-85.01027777777801,88.3,0.0
134,134,41.6808333333333,-85.00138888888898,100.3,0.0
135,135,41.1419444444444,-86.240833333333,90.1,41000.0
136,136,41.3336111111111,-85.05222222222199,102.3,0.0
137,137,41.3336111111111,-85.05222222222199,105.5,0.0
138,138,40.7472222222222,-85.17250000000001,91.3,0.0
139,139,40.7708333333333,-84.93472222222198,92.7,0.0
140,140,40.8705555555556,-85.17194444444402,100.1,41000.0
141,141,40.7472222222222,-85.17250000000001,100.1,0.0
142,142,41.4119444444444,-86.03083333333302,96.9,0.0
143,143,39.8491666666667,-85.13555555555598,91.9,9840.0
144,144,41.7161111111111,-86.863055555556,89.5,82000.0
145,145,41.7161111111111,-86.863055555556,89.5,0.0
146,146,41.1036111111111,-85.17888888888899,96.3,0.0
147,147,40.1980555555556,-86.12888888888898,91.5,9840.0
148,148,40.1980555555556,-86.12888888888898,91.5,41000.0
149,149,40.4602777777778,-85.77472222222201,88.1,9840.0
150,150,40.4602777777778,-85.77472222222201,88.1,9840.0
151,151,40.4838888888889,-85.75888888888898,88.5,9840.0
152,152,41.1069444444444,-85.35944444444402,106.3,0.0
153,153,41.1677777777778,-85.49472222222198,91.5,0.0
154,154,39.6375,-85.14583333333297,100.3,0.0
155,155,41.2183333333333,-86.42166666666702,98.3,9840.0
156,156,40.9772222222222,-84.96611111111099,105.1,0.0
157,157,41.6216666666667,-85.960277777778,104.7,0.0
158,158,41.6161111111111,-86.19388888888898,100.7,0.0
159,159,41.6161111111111,-86.19388888888898,100.7,0.0
160,160,41.6163888888889,-86.19527777777802,88.1,0.0
161,161,40.2758333333333,-85.86222222222199,101.7,0.0
162,162,41.1036111111111,-85.19111111111101,95.1,0.0
163,163,41.1036111111111,-85.19611111111101,90.3,0.0
164,164,41.1036111111111,-85.17888888888899,89.1,0.0
165,165,41.1069444444444,-85.19611111111101,92.3,0.0
166,166,41.0838888888889,-85.07749999999999,101.7,0.0
167,167,41.0994444444444,-85.145277777778,88.3,0.0
168,168,41.1116666666667,-85.19527777777802,97.3,0.0
169,169,41.1088888888889,-85.16527777777799,103.9,0.0
170,170,41.4638888888889,-85.82277777777801,89.9,9840.0
171,171,41.5630555555556,-85.82749999999999,91.1,0.0
172,172,41.6011111111111,-85.928055555556,97.7,0.0
173,173,39.9419444444444,-85.19472222222203,90.5,9840.0
174,174,39.9419444444444,-85.19472222222203,91.1,0.0
175,175,40.4852777777778,-85.37166666666701,88.1,9840.0
176,176,40.4211111111111,-85.42777777777798,93.5,0.0
177,177,41.7255555555556,-85.42500000000001,89.7,0.0
178,178,41.6497222222222,-85.35333333333301,91.9,0.0
179,179,40.9258333333333,-85.38749999999999,102.9,0.0
180,180,40.8922222222222,-85.51055555555598,91.9,0.0
181,181,41.3986111111111,-85.25222222222197,93.3,0.0
182,182,39.7688888888889,-85.51805555555597,90.7,0.0
183,183,41.3222222222222,-86.604722222222,99.3,0.0
184,184,41.2147222222222,-86.668888888889,89.3,0.0
185,185,40.6,-86.30222222222199,91.7,0.0
186,186,40.4511111111111,-86.03666666666697,100.5,0.0
187,187,40.4716666666667,-86.16444444444397,92.5,0.0
188,188,41.6319444444444,-86.761944444444,96.7,0.0
189,189,40.9808333333333,-85.27999999999997,91.1,0.0
190,190,41.6497222222222,-85.35333333333301,105.5,0.0
191,191,39.6627777777778,-84.92722222222199,89.7,9840.0
192,192,39.6627777777778,-84.92722222222199,89.7,9840.0
193,193,41.4838888888889,-85.595277777778,102.7,0.0
194,194,40.7544444444445,-86.31111111111102,102.3,0.0
195,195,40.6669444444444,-85.63055555555599,90.9,0.0
196,196,40.5977777777778,-85.65583333333302,106.9,0.0
197,197,41.6686111111111,-86.47805555555601,88.5,9840.0
198,198,41.7161111111111,-86.863055555556,95.9,0.0
199,199,41.6686111111111,-86.805833333333,89.5,0.0
200,200,40.5558333333333,-85.29416666666702,91.3,0.0
201,201,40.5558333333333,-85.29416666666702,91.3,41000.0
202,202,39.7502777777778,-85.55527777777797,88.1,9840.0
203,203,39.7502777777778,-85.55527777777797,88.1,82000.0
204,204,40.085,-85.397777777778,88.3,9840.0
205,205,40.2783333333333,-85.34777777777799,89.5,9840.0
206,206,40.2133333333333,-85.45999999999998,92.1,0.0
207,207,40.1605555555556,-85.37833333333299,104.1,0.0
208,208,40.1552777777778,-85.43,104.9,0.0
209,209,40.2783333333333,-85.34777777777799,90.5,0.0
210,210,40.1625,-85.379166666667,91.3,0.0
211,211,41.4119444444444,-86.03083333333302,95.7,0.0
212,212,41.7272222222222,-86.40833333333302,102.3,0.0
213,213,40.055,-85.38472222222202,102.5,0.0
214,214,41.0719444444444,-84.98722222222199,91.3,9840.0
215,215,41.0027777777778,-85.097222222222,107.9,0.0
216,216,40.015,-85.98277777777798,90.9,9840.0
217,217,40.015,-85.98277777777798,90.9,9840.0
218,218,40.0152777777778,-85.98277777777798,93.9,0.0
219,219,41.0111111111111,-85.76249999999999,89.5,0.0
220,220,41.6052777777778,-86.21249999999998,88.9,0.0
221,221,40.4494444444444,-86.08249999999998,91.3,9840.0
222,222,41.7433333333333,-85.09666666666698,91.3,9840.0
223,223,39.9977777777778,-85.73527777777798,91.7,0.0
224,224,40.6294444444445,-86.04111111111098,98.5,0.0
225,225,40.7647222222222,-86.04055555555601,98.3,0.0
226,226,41.3202777777778,-86.273611111111,89.3,82000.0
227,227,41.5280555555556,-86.26472222222202,94.3,0.0
228,228,40.4072222222222,-85.03750000000002,91.7,0.0
229,229,40.4361111111111,-85.01499999999999,100.9,0.0
230,230,39.9191666666667,-84.96305555555602,101.3,41000.0
231,231,39.8080555555556,-84.91305555555601,91.5,0.0
